track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
2biGEMYnKkiqJXkS8Koiaw,Panopticon,Kentucky,Kentucky,18,201066,False,0.456,0.399,7,-16.311,1,0.0311,0.644,0.656,0.231,0.689,99.951,4,black-metal
0WTc2jsUgF4Y2MOz0aYvsR,Megadeth,Hidden Treasures,Paranoid,65,152600,True,0.355,0.973,4,-7.004,0,0.071,0.000359,0.154,0.142,0.628,187.385,4,thrash-metal
7aMY3p166A7gDvbugcE2Ao,Xandria,Ravenheart,Eversleeping,39,220040,False,0.501,0.339,7,-9.22,0,0.03,0.905,0.000105,0.104,0.133,130.026,4,symphonic-metal
3oxjWhYHcHE3xtrpQulOmd,Exodus,Pleasures of the Flesh,Seeds of Hate,22,297306,False,0.209,0.947,11,-5.313,1,0.109,2.22e-06,0.197,0.247,0.23,89.54,4,thrash-metal
3U9gogDStAfWxSm91PJuxb,Slayer,South Of Heaven,South Of Heaven,64,298533,True,0.31,0.991,5,-3.769,0,0.316,0.000132,0.085,0.0969,0.0395,140.071,4,thrash-metal
3iSgRJUrMKHLglnrQrQ6kO,Within Temptation,The Unforgiving,Iron,51,341000,False,0.293,0.962,11,-2.981,0,0.121,3.42e-05,1.62e-05,0.367,0.27,198.121,3,symphonic-metal
0QRxtcxL31dRAeiUUuENPu,Sepultura,Chaos A.D.,Territory,56,287480,False,0.332,0.946,2,-6.233,1,0.127,0.000275,0.0304,0.136,0.303,153.091,4,thrash-metal
13Uvqll8OQDjw3wDweIK9y,Metallica,Death Magnetic,The Day That Never Comes,65,476266,False,0.334,0.982,4,-2.293,0,0.0619,9.11e-05,0.149,0.106,0.501,126.883,4,thrash-metal
4OdTyeq4qCXepqucqCeTq2,The Acacia Strain,The Dead Walk,See You Next Tuesday,24,195653,False,0.389,0.991,1,-4.917,1,0.181,0.000529,8.47e-05,0.201,0.153,154.06,4,death-metal
5s944C3ziYbQKqpm7IYqFr,LIK,Misanthropic Breed,Flesh Frenzy,20,150800,False,0.369,0.966,1,-6.014,0,0.199,1.57e-06,0.0703,0.367,0.155,120.302,1,black-metal
4m9lCws9FeI0IwhVkHTb8P,Lifvsleda,Sepulkral Dedikation,Djefvulen,18,266254,False,0.376,0.866,9,-7.781,1,0.0587,9.12e-05,0.883,0.608,0.122,130.001,4,black-metal
4hiCLNDmnoMbIxZyWquci7,D.F.C.,Igreja Quadrangular Do Triângulo Redondo,Mentira de Eleição,25,62537,True,0.305,0.972,0,-3.607,1,0.113,3.19e-05,0.429,0.0953,0.471,123.041,4,death-metal
7wpxUFLO2n6zKzIIQk6Dbd,Månegarm,Fornaldarsagor,Slaget vid Bråvalla,18,302635,False,0.425,0.964,10,-3.955,0,0.0676,3.87e-06,0.000957,0.0724,0.152,140.024,4,black-metal
3aRl57NL6tXbeXiUQSg4ls,The Agonist,Five,The Hunt,21,215546,False,0.377,0.935,7,-6.516,1,0.0531,0.000167,0.0035,0.0493,0.369,170.0,4,death-metal
4E5xVW505akJX0wcKj8Mpd,Megadeth,Rust In Peace (Expanded Edition),Tornado Of Souls - Remastered 2004,68,319266,False,0.519,0.982,7,-3.547,1,0.108,0.00203,0.00055,0.0971,0.361,97.745,4,thrash-metal
1EXeXN2Bd5R4IRRHQyGr7A,Winds of Plague,The Great Stone War,Forged In Fire,21,215240,False,0.415,0.997,11,-2.615,0,0.151,5.13e-05,0.000697,0.363,0.142,149.967,4,black-metal
6ghmPHtzLrErgkXju7ZDao,Upon A Burning Body,Red. White. Green.,Predators,25,275813,False,0.318,0.975,9,-4.788,0,0.365,0.0083,0.0,0.123,0.0742,140.484,5,death-metal
5lKeJIU0KnJZEF2FE76B3y,Samael,Telepath,Telepath,16,215480,False,0.518,0.971,2,-3.296,1,0.118,0.00266,0.00191,0.0735,0.304,145.811,4,black-metal
5mUbYcKBo74303TmkY5GWR,Primordial,Exile Amongst the Ruins,Exile Amongst the Ruins,19,479763,False,0.135,0.782,4,-6.891,0,0.0439,0.00269,0.00583,0.251,0.0596,158.152,1,black-metal
1M8LMTTEajUuw7AN0g4f4i,Megadeth,Halloween Metal Nights,Holy Wars...The Punishment Due - Remastered,2,392600,False,0.327,0.985,11,-3.941,1,0.151,0.00177,0.108,0.351,0.218,125.232,4,thrash-metal
4PWxt9Fy949kUtkEi2GI5V,Gojira,L'Enfant Sauvage (Special Edition),L'enfant sauvage,58,257733,False,0.143,0.995,8,-5.698,1,0.185,0.000146,0.438,0.364,0.079,87.803,3,death-metal
5HmNls885b2Egmu60z4fo3,Within Temptation,Don't Pray For Me,Don't Pray For Me,54,221560,False,0.481,0.9,10,-3.988,0,0.0696,0.000163,3.2e-05,0.0783,0.503,141.938,4,symphonic-metal
0iffHBKKs6CWZ4WmltlFXS,Avatar,Black Waltz,Use Your Tongue,22,575226,False,0.568,0.886,4,-4.355,1,0.0419,0.000537,0.23,0.206,0.218,137.681,4,death-metal
6WREIMikCOAKdwqcO4jUI1,Bucovina,Septentrion,Septentrion,18,279733,False,0.498,0.977,7,-3.58,1,0.0388,0.000145,0.00539,0.11,0.475,136.027,4,black-metal
7qL5NqnxckzlO3FqVSwmzg,Hulder,Godslastering: Hymns of a Forlorn Peasantry,A Forlorn Peasant's Hymn,18,362704,False,0.172,0.806,0,-9.751,0,0.175,0.0637,0.269,0.0796,0.0339,109.609,4,black-metal
4iV38vAC2PYELykYAPvP4I,Epica,Design Your Universe (Gold Edition: Deluxe Edition),Semblance of Liberty,21,342137,False,0.514,0.966,4,-4.967,0,0.108,0.00012,0.0448,0.0781,0.429,140.019,4,symphonic-metal
3PiCT4dYXktj8aXAwLdxnh,Alestorm,Sunset on the Golden Age,1741 (The Battle of Cartagena),29,437560,False,0.51,0.954,10,-4.079,0,0.0818,5.34e-05,0.0356,0.301,0.487,111.006,3,symphonic-metal
5mo20UkX1ct2FrdBZDk7oi,Death,Scream Bloody Gore (Reissue),Mutilation,20,207597,False,0.165,0.911,11,-6.797,0,0.0874,1.09e-06,0.734,0.111,0.226,110.226,4,death-metal
24cUJMEiMkGfdhTgt2ZUgV,Halestorm,Rock - Best of 2022,The Steeple,4,207445,False,0.43,0.981,5,-2.929,1,0.0744,0.00014,5.45e-06,0.287,0.585,157.01,4,symphonic-metal
2in67HRK0kG1fiCoXJdbYq,Horn,Verzet,Protektor,17,247174,False,0.219,0.788,9,-6.793,1,0.0536,0.000137,0.545,0.0658,0.591,80.118,4,black-metal
2aaClnypAakdAmLw74JXxB,Sepultura,Metal,Arise,0,198226,False,0.371,0.961,9,-6.765,0,0.0931,1.52e-05,0.0548,0.0916,0.159,115.336,4,thrash-metal
3pKsUMqpVr4ZJ13Mm91Xig,Testament,The Gathering,Down for Life,60,203680,False,0.344,0.955,1,-10.614,1,0.0444,5.4e-06,0.111,0.0665,0.352,111.671,4,thrash-metal
7IiqF2tYiixnpBcFjkocjA,Asking Alexandria,From Death To Destiny,Moving On,58,242593,False,0.446,0.761,3,-4.141,0,0.032,0.000569,0.0,0.182,0.336,134.971,4,symphonic-metal
5Xod1NZrvEBucvQJIxI8O5,Arckanum,ÞÞÞÞÞÞÞÞÞÞÞ,Þann Svartís,16,246826,False,0.234,0.929,0,-3.059,0,0.0818,0.0,0.933,0.272,0.1,155.577,4,black-metal
3vadV5PzHc3tB5S0CWCBmc,Body Void,Ruins,Swan,19,395035,False,0.293,0.584,7,-7.605,1,0.0593,0.0611,0.929,0.11,0.0574,129.667,4,black-metal
0di1fFxZ2v814evMbAvnzI,Aversions Crown,Tyrant,Earth Steriliser,21,212613,False,0.447,0.983,7,-2.892,1,0.175,0.000231,0.845,0.107,0.0558,140.026,4,black-metal
5U8xc7Ui7hC3o4X4KdR94V,Winds of Plague,Decimate the Weak,Angels of Debauchery,25,272693,False,0.481,0.959,4,-3.658,0,0.0944,3.55e-05,0.675,0.133,0.28,114.399,4,death-metal
4Eg3w2y5JAiaVWTMWC6pHZ,Moonsorrow,Verisäkeet,Kaiku,17,499986,False,0.266,0.0887,9,-20.274,0,0.0585,0.0233,0.0889,0.465,0.0664,88.5,4,black-metal
3bG1B0UTDX0UYg9qeec3gL,Halestorm,Metal Lives!,Wicked Ways,0,206959,False,0.342,0.991,2,-2.836,1,0.125,2.44e-05,0.049,0.404,0.242,176.359,4,symphonic-metal
7JP8lWYrxpA8luKU8IPd3Y,Asking Alexandria,See What’s On The Inside,Alone Again,56,228977,False,0.496,0.969,10,-3.085,1,0.0688,7.49e-05,5.93e-06,0.242,0.199,109.977,4,symphonic-metal
6vgCLXsuxbSTFn66QbEE3X,Moonsorrow,Suden Uni,Köyliönjärven jäällä (Pakanavedet II),19,388280,False,0.257,0.985,9,-4.431,1,0.0755,4.55e-06,0.919,0.583,0.174,97.753,4,black-metal
27sTzAelgljD6Uxp88BqA3,Arch Enemy,Doomsday Machine,Nemesis,59,252280,False,0.246,0.954,8,-3.811,1,0.0975,5.79e-05,0.291,0.126,0.164,97.553,4,death-metal
4vEmfvLSpk5KmVIM6jqae1,Goretrade,Ten Years Trading... (Bonus Remastered),Unholy Masturbation (Bonus Remastered),37,178316,True,0.257,0.974,7,-5.45,1,0.156,1.6e-06,0.868,0.302,0.467,153.083,4,death-metal
7ijzfPlrrszfIllGC2FHgO,Bolt Thrower,Those Once Loyal,The Killchain,46,281120,False,0.402,0.86,8,-7.689,1,0.039,1.43e-06,0.895,0.103,0.427,108.118,4,death-metal
7AIP5Lqy500r7pYtdCpphh,Wolves In The Throne Room,Celestite,Sleeping Golden Storm,16,541928,False,0.104,0.345,9,-14.844,0,0.0385,0.813,0.922,0.154,0.0379,91.211,4,black-metal
0UHAvWWF7B6O0xVi3fW5P2,Signs of the Swarm,Vital Deprivation,Crown of Nails,22,204462,False,0.405,0.985,0,-2.345,0,0.118,4.19e-05,1.56e-05,0.454,0.0853,99.995,4,death-metal
4lI1izPJwDoyDCrxgMCWtN,Epica,Live At Paradiso,Run For A Fall - Live At Paradiso,24,428187,True,0.271,0.583,4,-8.182,0,0.0517,0.246,1.59e-05,0.806,0.251,112.003,4,symphonic-metal
7qaaixGlCzurV30loAGNyz,Unearth,III: In The Eyes Of Fire,This Glorious Nightmare,26,261920,False,0.309,0.981,11,-3.609,1,0.179,0.000211,0.0768,0.297,0.268,147.269,3,death-metal
